,root_cause,score
0,app5,0.1677774689337988
1,host5,0.09320970496322156
2,app7,0.08388873446689955
3,app4,0.07922824921873828
4,app6,0.07922824921873801
5,host7,0.0745677639705774
6,host6,0.07456776397057693
7,host4,0.059129906586043626
8,app8,0.046604852481610795
9,sv2,0.04412896969352517
10,host3,0.04383768936551512
11,app3,0.041762317028443394
12,host8,0.03728388198528865
13,app2,0.02290191578979155
14,host2,0.017020362093417542
15,sv1,0.012617411281606828
16,host1,0.01242026423033172
17,app1,0.009824494721876147
