,root_cause,score
0,app5,0.172592531290462
1,app2,0.17168612723185928
2,host1,0.1628177810958456
3,app3,0.1611218520338333
4,host3,0.1610639374167089
5,host2,0.1603584971737646
6,host4,0.1603584971737646
7,app4,0.16035162597573605
8,host5,0.15915254398508247
9,sv1,0.15831998733481473
10,sv2,0.15831998733481473
11,app1,0.15311955693398893
12,app6,0.14360119044536518
13,app7,0.14355742294859855
14,app8,0.14355742294859855
15,host6,0.14285714285714285
16,host7,0.14285714285714285
17,host8,0.14285714285714285
