,root_cause,score
0,app4,0.6849553962244669
1,app1,0.36099202879754044
2,host4,0.34888833851741363
3,app3,0.34013492129604167
4,host2,1.216602628172899e-07
5,sv1,1.883574723336725e-08
6,sv2,1.0062567944600221e-10
7,host7,9.752950994814701e-11
8,app5,-3.918606988924554e-11
9,app9,-1.1047053657393361e-08
10,app7,-0.0013782474394174427
11,app8,-0.002010889502918314
12,app2,-0.4989293049058555
13,host1,-0.499999999999972
14,sv3,-0.50000000563477
15,host9,-0.5008109060888897
16,app11,-0.7162938239997729
17,host8,-0.7181033791830553
18,host6,-0.7208215456820544
19,app6,-0.7216015473015533
20,app10,-0.7428315732209247
21,app12,-0.743793364515237
22,app13,-0.743793364515237
23,host10,-0.7438746343968426
24,sv4,-0.7448814995619951
25,app14,-0.7480240875479833
