,root_cause,score
0,sv3,0.7182123727428756
1,app6,0.4990915829375158
2,app4,0.4990712251733884
3,app1,0.35239975947004804
4,host9,0.001294444568884281
5,app3,0.0009494138208715127
6,host2,7.152381726165798e-08
7,sv1,1.5578608601945262e-08
8,app9,-1.774299353326494e-08
9,app8,-0.43817423230415065
10,app7,-0.4837350924334578
11,app2,-0.49924090939636456
12,host1,-0.4999999999999989
13,host6,-0.6751773620127055
14,host4,-0.7182367208638641
15,app5,-0.7257708432324594
16,sv2,-0.7345734589920535
17,host8,-0.7351819526573624
18,host7,-0.7453990465076026
