,root_cause,score
0,host4,0.11395218363767035
1,app12,0.09464365413845158
2,host10,0.08115167012761258
3,sv2,0.0780144365444439
4,app5,0.07379982292613688
5,app8,0.06824373374661014
6,host8,0.06178907123932543
7,app14,0.05332028664351865
8,app11,0.0521768845223777
9,host9,0.043067939129338345
10,app4,0.042369543428872045
11,app3,0.02902867885592044
12,app9,0.028734541450844753
13,host7,0.028733231007255076
14,app13,0.028535769370061116
15,app7,0.023596237374771643
16,app6,0.016464902034483003
17,sv4,0.01623033402552252
18,host6,0.013476758489649111
19,sv3,0.012451496851534485
20,app2,0.011705112441903408
21,app10,0.010503131964927557
22,app1,0.005900788342571609
23,host1,0.005771385089445039
24,host2,0.004270307353176823
25,sv1,0.0020680992636046428
