,root_cause,score
0,app5,379.0
1,host3,278.0
2,host1,260.0
3,host5,253.0
4,host2,246.0
5,host4,246.0
6,sv2,217.0
7,sv1,201.0
8,app3,75.0
9,app2,61.0
10,app6,57.0
11,app7,36.0
12,app8,32.0
13,host7,25.0
14,host6,20.0
15,host8,14.0
16,app1,0.0
17,app4,0.0
