,root_cause,score
0,host6,0.75
1,sv2,0.746894151160798
2,host8,0.7402248443514322
3,app7,0.5000000141083263
4,host4,0.4850771909206141
5,host3,0.48505527839315365
6,host9,0.48053435692096125
7,app8,0.4515393679189487
8,app4,0.4400081816552636
9,app3,0.43952213448100524
10,app9,0.428830156171379
11,app1,0.36738820188463117
12,host5,0.3586439566273566
13,app5,0.015809910097351745
14,app6,0.0025132414344734328
15,host2,1.5568530360587237e-07
16,sv1,2.1572766377174585e-08
17,app2,-0.49882141358629134
18,host1,-0.4999999999998765
19,host7,-0.66328003375561
