,root_cause,score
0,app7,0
1,host7,0
2,app8,1
3,host8,1
4,app6,3
5,app5,4
6,host5,6
7,host6,6
8,app4,19
9,app3,20
10,host4,21
11,host3,25
12,sv2,25
13,app2,37
14,app1,42
15,host2,46
16,host1,53
17,sv1,55
