,root_cause,score
0,host4,0.10979617577596953
1,app4,0.09907942197094857
2,app7,0.08917147977385348
3,sv2,0.08810991453845071
4,app6,0.0842175086753065
5,host6,0.07926353757675908
6,host7,0.07926353757675864
7,app5,0.05944765318256903
8,host3,0.05383652265258177
9,app8,0.04953971098547418
10,app3,0.046228638465526786
11,host5,0.039631768788379346
12,host8,0.039631768788379346
13,app2,0.025351188835934065
14,host2,0.018840625275486154
15,sv1,0.013966795571016766
16,host1,0.013748564390219629
17,app1,0.010875187176390657
