,root_cause,score
0,sv3,0.7317709455198771
1,sv2,0.7256617194018877
2,app7,0.5000000132082897
3,host4,0.39329387077521155
4,app4,0.38642353944873425
5,app3,0.3849783213844735
6,app1,0.36400569471367905
7,host9,0.0019487233286747882
8,host2,1.3877746029683997e-07
9,sv1,2.0212938125158307e-08
10,app5,1.556873636469416e-14
11,app9,-6.408549439601113e-09
12,app8,-0.0011098317066709684
13,app6,-0.0018168341249683217
14,app2,-0.498874344661374
15,host1,-0.4999999999999362
16,host8,-0.6587137091894413
17,host7,-0.6636022866242371
18,host6,-0.6751773620127055
