,root_cause,score
0,host1,0.7434915602178093
1,host4,0.6973389876360231
2,app8,0.6406103623339484
3,host2,0.3614320259052375
4,app3,0.3567573398622932
5,host7,0.3471152158309669
6,app9,0.3103549310083382
7,app2,0.002130369012192137
8,host6,0.0015966486961536198
9,app13,0.0011445444718773466
10,sv1,1.0173433519064429e-08
11,sv3,9.835416243655274e-13
12,app7,-0.0018532914763065862
13,app5,-0.49432178343002353
14,app1,-0.4999999995086724
15,app4,-0.5003381487246568
16,app6,-0.5006301476553653
17,host8,-0.5006810461300782
18,app12,-0.5007916407022903
19,app11,-0.5008762957695697
20,sv2,-0.6507555999183128
21,host9,-0.669387126297156
22,app10,-0.6768228743747065
23,app14,-0.6965731976855616
24,host10,-0.7143266929282097
25,sv4,-0.7313192837604657
