,root_cause,score
0,sv1,0.7484662114561023
1,sv2,0.7346645345355963
2,app6,0.5000000172612044
3,app5,0.49365341810976576
4,host3,0.46834608311952813
5,app2,0.4338364495653022
6,app1,0.4228349981207136
7,app3,0.3810022974631756
8,host4,0.3375657610235183
9,host2,1.2297428320272124e-07
10,host1,1.901425299801793e-08
11,app4,-1.0910476756406333e-11
12,app8,-0.4042434402958235
13,app7,-0.404243440295824
14,host6,-0.6623022747384031
15,host5,-0.6670054208522584
16,host7,-0.7328797327985422
17,host8,-0.7328797327985423
