,root_cause,score
0,host4,0.5003655444915281
1,sv2,3.69920424714024e-12
2,app5,-7.368548031980683e-08
3,app8,-0.0016976090965026814
4,app7,-0.0019872674812131275
5,app4,-0.4997130366427182
6,host1,-0.5000000088505647
7,app3,-0.5006233818130484
8,app2,-0.5010867409871843
9,host9,-0.5011171793016762
10,app6,-0.501571151272855
11,host7,-0.6802727455134474
12,host2,-0.7077707632113144
13,sv3,-0.7085258407917996
14,sv1,-0.7124233307875328
15,host8,-0.7175371748457451
16,app11,-0.7202871439867797
17,host6,-0.7247001510222312
18,app1,-0.7417568995962986
19,app9,-0.7419125511469666
20,app12,-0.7444152503237688
21,app13,-0.7444152503237691
22,app10,-0.7444440258968124
23,host10,-0.7450215174081924
24,sv4,-0.7460781244684298
25,app14,-0.7484393272814437
