,root_cause,score
0,host4,0.17689598738755785
1,app5,0.11831630068193567
2,sv2,0.10482725178521946
3,app8,0.10361850381386187
4,app7,0.06869978749273681
5,app4,0.06567219318461792
6,host7,0.06106647777132161
7,host9,0.06101074038979105
8,host8,0.05921057360792108
9,app3,0.04287424836441636
10,app9,0.04206575504907782
11,app6,0.026821430558859653
12,app2,0.01728800337274854
13,host6,0.013410715279429827
14,sv3,0.011621093407579247
15,app1,0.008715238685196653
16,host1,0.008524115029819535
17,host2,0.006307080627444947
18,sv1,0.0030545035104816024
