,root_cause,score
0,app8,0.24545397993013668
1,host8,0.11973364874640813
2,app5,0.10476694265310713
3,host5,0.07184018924784488
4,app6,0.06585350681052449
5,app4,0.059866824373204106
6,host4,0.059003959296799864
7,sv2,0.05631528950975665
8,app7,0.05388014193588363
9,host7,0.04789345949856322
10,host3,0.0414508818533489
11,app3,0.028024212011104457
12,app2,0.012656095746950405
13,host6,0.011973364874640818
14,host1,0.00638996615012369
15,app1,0.006278513252156415
16,host2,0.004681021714625493
17,sv1,0.003938002394843669
