,root_cause,score
0,app3,0.6886492091673568
1,app4,0.6875017831526072
2,app1,0.3627802893890997
3,host4,0.3500521700949421
4,host9,0.001567264542950816
5,host2,1.3398028078557213e-07
6,sv1,1.974143239971543e-08
7,sv2,1.1458700769654505e-10
8,host7,1.0283544304769953e-10
9,sv3,-1.2372973694778842e-17
10,app5,-3.047918594789211e-11
11,app9,-1.1047053657393384e-08
12,app7,-0.0013737431277103963
13,app8,-0.0014878340465448573
14,app2,-0.4988869971292232
15,host1,-0.49999999999995065
16,app6,-0.5011281212099696
17,host6,-0.6992181102358717
18,host8,-0.7152249402849649
19,app11,-0.7162038122575942
20,app10,-0.7381922223442146
21,app12,-0.7430351084369009
22,app13,-0.7430351084369011
23,host10,-0.7437735208775913
24,sv4,-0.7447461875335424
25,app14,-0.7477712783322563
