,root_cause,score
0,app8,0.23093722756413443
1,host8,0.11265230612884605
2,app5,0.09857076786274031
3,host5,0.06759138367730763
4,app6,0.0647750760240865
5,host4,0.05551431995190466
6,sv2,0.052984664712124305
7,app7,0.05069353775798073
8,host7,0.04506092245153842
9,app4,0.0422446147983173
10,host3,0.038999374701626385
11,app9,0.03661199949187498
12,host9,0.03379569183865383
13,app3,0.026366791153095377
14,app2,0.011907583101397915
15,host6,0.011265230612884609
16,host1,0.006012047828103056
17,app1,0.005907186528775678
18,host2,0.004404174571749913
19,sv1,0.0037050992429007203
